id,filename,label,language,scene_2cls,topic_4cls,generation_prompt
AM_fake_001,AM_fake_001.jpg,fake,AMHARIC,paper,Culture & Entertainment,"Imagine looking at someone's phone or screen showing certificate in light mode. The screen displays a post in Amharic (አማርኛ) about: entertainment industry report on a major streaming platform's content deal worth $4.7 billion with a production studio at Millbrook. The interface includes: formal certificate: ornate border design, institution name and logo at top; recipient name in calligraphic or bold font, degree/qualification title; date of issue, signatures, embossed seal, certificate number. Landscape framing, aspect 4:3, 1600×1200 (landscape form scan), captured from Single-page A4/letter in viewer or on desk, margins, paragraph blocks, formal layout. The image has: printed on paper and then photographed, showing paper texture, slight skew, and ambient shadows. Names, organizations, places, and numbers should use plausible everyday forms. Typography and UI density should match a genuine device capture."
AM_fake_002,AM_fake_002.jpg,fake,AMHARIC,paper,Culture & Entertainment,"A light mode screenshot of gov_notice in Amharic, showing: fan-made tribute post for a legendary musician's anniversary, showing career timeline and 23K fan reactions. UI layout: official government document: agency/ministry letterhead, government emblem/seal; document title in bold, formal reference number, date; body text in formal language, official signature, stamp, classification marking. Portrait framing, aspect 3:4, 1200×1600 (document viewer portrait); device frame: Single-page A4/letter in viewer or on desk, margins, paragraph blocks, formal layout. Capture condition: wet or coffee-stained document with ring marks and faded text areas. All text content is in Amharic (አማርኛ). Names, organizations, places, and numbers should use plausible everyday forms. Typography and UI density should match a genuine device capture."
AM_fake_003,AM_fake_003.jpg,fake,AMHARIC,paper,Politics & Military,"Device capture of a newspaper interface displaying the following content in Amharic (አማርኛ): military command communiqué announcing a ceasefire agreement effective at 0600 hours along the Harborview border corridor. The screen shows light mode with these UI elements: newspaper front page layout: masthead with newspaper name, date, edition number; multi-column text layout, large headline in bold serif font, subheadlines, byline; black and white or muted-color photos with captions, article continuation markers. Landscape framing, aspect 4:3, 1600×1200 (print flat landscape); framed as Flat-lay of printed page on a desk, paper curl, soft shadow, natural reading distance. Image condition: wet or coffee-stained document with ring marks and faded text areas. Names, organizations, places, and numbers should use plausible everyday forms. Typography and UI density should match a genuine device capture."
AM_fake_004,AM_fake_004.jpg,fake,AMHARIC,paper,Politics & Military,"Device capture of a magazine interface displaying the following content in Amharic (አማርኛ): veterans affairs ministry statement about $2.1 billion in new disability benefits for at least 14 service members from Riverside Province operations. The screen shows light mode with these UI elements: magazine page: glossy finish look, stylized headline typography, large feature image; pull quotes, sidebar text boxes, page number, magazine name in header/footer; multi-column layout with callout statistics or infographics. Portrait framing, aspect 3:4, 1200×1600 (document viewer portrait); framed as Single-page A4/letter in viewer or on desk, margins, paragraph blocks, formal layout. Image condition: slightly compressed image quality, minor compression artifacts visible at edges. Names, organizations, places, and numbers should use plausible everyday forms. Typography and UI density should match a genuine device capture."
AM_fake_005,AM_fake_005.jpg,fake,AMHARIC,paper,Society & Livelihood,"A photograph of a device screen showing newspaper (light mode). The post/page content, written in Amharic (አማርኛ), is about: health authority advisory on seasonal flu vaccination side effects, with 76% of recipients reporting mild symptoms. Visible UI components: newspaper front page layout: masthead with newspaper name, date, edition number; multi-column text layout, large headline in bold serif font, subheadlines, byline; black and white or muted-color photos with captions, article continuation markers. Landscape framing, aspect 4:3, 1600×1200 (landscape form scan). Device: Single-page A4/letter in viewer or on desk, margins, paragraph blocks, formal layout. Photo characteristics: photographed from another screen with visible moire pattern and slight reflection glare. Names, organizations, places, and numbers should use plausible everyday forms. Typography and UI density should match a genuine device capture."
AM_real_001,AM_real_001.jpg,real,AMHARIC,screen,Culture & Entertainment,
AM_real_002,AM_real_002.jpg,real,AMHARIC,screen,Culture & Entertainment,
AM_real_003,AM_real_003.jpg,real,AMHARIC,screen,Politics & Military,
AM_real_004,AM_real_004.jpg,real,AMHARIC,screen,Politics & Military,
AM_real_005,AM_real_005.jpg,real,AMHARIC,screen,Society & Livelihood,
